Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
434,Lianyungang-2,,,China,CN,Planned,PWR,,,,,,,WNA,
584,Rostov-2 (Volgodonsk-2),47.599,42.373,Russia,RU,Operational,PWR,VVER V-320,1983-05-01,2010-12-10,,950.0,2015-05-24T04:51:35+03:00,WNA/IAEA,505.0
444,Loviisa-1,60.372,26.342,Finland,FI,Operational,PWR,VVER V-213,1971-05-01,1977-05-09,,420.0,2015-05-24T04:50:50+03:00,WNA/IAEA,157.0
645,Smolensk-3,54.169,33.245,Russia,RU,Operational,LWGR,RBMK-1000,1984-05-01,1990-10-12,,925.0,2015-05-24T04:51:36+03:00,WNA/IAEA,508.0
336,Ikata-2,33.491,132.309,Japan,JP,Shutdown,PWR,M (2-loop),1978-08-01,1982-03-19,2018-05-23,538.0,2019-06-02T20:18:50+03:00,WNA/IAEA,358.0
658,St. Lucie-1,27.348,-80.244,United States,US,Operational,PWR,CE 2LP (DRYAMB),1970-07-01,1976-12-21,,830.0,2017-02-10T23:58:47+02:00,WNA/IAEA,670.0
81,Browns Ferry-2,34.704,-87.119,United States,US,Operational,BWR,BWR-4 (Mark 1),1967-05-01,1975-03-01,,1065.0,2015-05-24T04:51:42+03:00,WNA/IAEA,618.0
150,Chooz-B2,50.086,4.792,France,FR,Operational,PWR,N4 REP 1450,1985-12-31,2000-09-29,,1455.0,2015-05-24T04:51:06+03:00,WNA/IAEA,226.0
353,Kaiga-4,14.865,74.438,India,IN,Operational,PHWR,Horizontal Pressure Tube type,2002-05-10,2011-01-20,,202.0,2015-05-24T04:54:06+03:00,WNA/IAEA,292.0
363,Kalinin-4,57.903,35.057,Russia,RU,Operational,PWR,VVER V-320,1986-08-01,2012-12-25,,950.0,2015-05-24T04:51:35+03:00,WNA/IAEA,496.0
435,Limerick-1,40.225,-75.584,United States,US,Operational,BWR,BWR-4 (Mark 2),1974-06-19,1986-02-01,,1055.0,2015-05-24T04:51:47+03:00,WNA/IAEA,678.0
422,LaSalle-2,41.246,-88.672,United States,US,Operational,BWR,BWR-5 (Mark 2),1973-09-10,1984-10-19,,1078.0,2015-05-24T04:51:48+03:00,WNA/IAEA,693.0
441,Lingen,52.483,7.302,Germany,DE,Shutdown,BWR,BWR with fossil fuel-fired superheater,1964-10-01,1968-10-01,1977-01-05,183.0,2021-02-14T03:47:53+02:00,WNA/IAEA,133.0
492,Novovoronezh-4,51.275,39.206,Russia,RU,Operational,PWR,VVER V-179,1967-07-01,1973-03-24,,385.0,2015-05-24T04:51:32+03:00,WNA/IAEA,448.0
135,Chernobyl-1,51.389,30.103,Ukraine,UA,Shutdown,LWGR,RBMK,1970-03-01,1978-05-27,1996-11-30,925.0,2015-05-24T04:51:39+03:00,WNA/IAEA,568.0
384,Koeberg-1,-33.677,18.433,South Africa,ZA,Operational,PWR,CP1,1976-07-01,1984-07-21,,921.0,2015-05-24T04:51:50+03:00,WNA/IAEA,836.0
642,Sizewell-C2,52.21939,1.6238,United Kingdom,GB,Planned,PWR,,,,,,,WNA,
487,Novovoronezh 2-1,51.273,39.197,Russia,RU,Operational,PWR,VVER V-392M,2008-06-24,2017-02-27,,1114.0,2019-11-22,WNA/IAEA,898.0
56,Biblis-B,49.709,8.415,Germany,DE,Shutdown,PWR,PWR,1972-02-01,1977-01-31,2011-08-06,1178.0,2015-05-24T04:50:42+03:00,WNA/IAEA,91.0
430,Leningrad-2,59.837,29.039,Russia,RU,Shutdown,LWGR,RBMK-1000,1970-06-01,1976-02-11,2020-11-10,925.0,2021-01-06T01:19:47+02:00,WNA/IAEA,475.0
611,Shaoguan-1,,,China,CN,Planned,PWR,,,,,,,WNA,
681,Tarapur-3,19.834,72.657,India,IN,Operational,PHWR,Horizontal Pressure Tube Type,2000-05-12,2006-08-18,,502.0,2015-05-24T04:54:06+03:00,WNA/IAEA,300.0
559,Qinshan-2-2 (Qinshan 3),30.44,120.95,China,CN,Operational,PWR,CNP-600,1997-04-01,2004-05-03,,610.0,2015-05-24T04:50:40+03:00,WNA/IAEA,66.0
377,Kashiwazaki Kariwa-7,37.434,138.598,Japan,JP,Suspended Operation,BWR,ABWR,1993-07-01,1997-07-02,,1315.0,2023-08-28T08:01:45+03:00,WNA/IAEA,384.0
590,Rivne-4,51.326,25.9,Ukraine,UA,Operational,PWR,VVER V-320,1986-08-01,2006-04-06,,950.0,2023-08-28T08:51:40+03:00,WNA/IAEA,589.0
298,Hanul-5,37.09,129.384444,South Korea,KR,Operational,PWR,OPR-1000,1999-10-01,2004-07-29,,950.0,2022-04-21T20:26:19+03:00,IAEA,404.0
539,Philippsburg-1,49.253,8.432,Germany,DE,Shutdown,BWR,BWR-69,1970-10-01,1980-03-26,2011-08-06,864.0,2015-05-24T04:50:42+03:00,WNA/IAEA,87.0
61,Bilibino-4,68.059,166.492,Russia,RU,Operational,LWGR,EGP-6,1970-01-01,1977-01-01,,11.0,2015-05-24T04:51:33+03:00,WNA/IAEA,470.0
580,Ringhals-4,57.259,12.111,Sweden,SE,Operational,PWR,WH 3LP,1973-11-01,1983-11-21,,1130.0,2021-04-20T02:47:37+03:00,WNA/IAEA,529.0
379,Khmelnitski-1,50.301,26.649,Ukraine,UA,Operational,PWR,VVER V-320,1981-11-01,1988-08-13,,950.0,2015-05-24T04:51:40+03:00,WNA/IAEA,573.0
726,Vandellos-1,40.949,0.867,Spain,ES,Shutdown,GCR,,1968-06-21,1972-08-02,1990-07-31,480.0,2015-05-24T04:50:49+03:00,WNA/IAEA,150.0
385,Koeberg-2,-33.677,18.433,South Africa,ZA,Operational,PWR,CP1,1976-07-01,1985-11-09,,921.0,2015-05-24T04:51:50+03:00,WNA/IAEA,837.0
445,Loviisa-2,60.372,26.342,Finland,FI,Operational,PWR,VVER V-213,1972-08-01,1981-01-05,,420.0,2015-05-24T04:50:50+03:00,WNA/IAEA,158.0
536,Penly-3,49.977611,1.21409,France,FR,Planned,PWR,,,,,,,WNA,
653,St. Alban-2,45.404,4.754,France,FR,Operational,PWR,P4 REP 1300,1979-07-31,1987-03-01,,1335.0,2015-05-24T04:51:01+03:00,WNA/IAEA,205.0
453,McGuire-2,35.433,-80.946,United States,US,Operational,PWR,WH 4LP (ICECND),1971-04-01,1984-03-01,,1180.0,2017-02-10T23:58:55+02:00,WNA/IAEA,691.0
206,Enrico Fermi,45.183333,8.283333,Italy,IT,Shutdown,PWR,WH 4LP,1961-07-01,1965-01-01,1990-07-01,247.0,2017-02-10T23:56:19+02:00,IAEA,326.0
533,Pengze-2,,,China,CN,Planned,PWR,AP-1000,,,,,,WNA,
92,Brunswick-1,33.958,-78.007,United States,US,Operational,BWR,BWR-4 (Mark 1),1970-02-07,1977-03-18,,821.0,2015-05-24T04:51:46+03:00,WNA/IAEA,662.0
249,Genkai-3,33.518,129.837,Japan,JP,Operational,PWR,M (4-loop),1988-06-01,1994-03-18,,1127.0,2015-05-24T04:51:29+03:00,WNA/IAEA,372.0
